BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,BAND_9,BAND_11,BAND_12,Classe,Dominio
0.09390000000000001,0.0902,0.0906,0.0927,0.101,0.0916,0.0951,0.0886,0.08990000000000001,0.1796,0.0883,0.07540000000000001,0,ANA
0.039900000000000005,0.0471,0.0641,0.0637,0.0545,0.024,0.0274,0.0206,0.018500000000000003,0.0733,0.0224,0.017,0,ANA
0.0212,0.035500000000000004,0.0522,0.027600000000000003,0.0196,0.0081,0.0098,0.0083,0.0094,0.099,0.0091,0.0046,0,ANA
0.030500000000000003,0.0432,0.055,0.027,0.0219,0.0103,0.012100000000000001,0.010100000000000001,0.009600000000000001,0.0011,0.0067,0.0063,0,ANA
0.0318,0.0402,0.058800000000000005,0.021500000000000002,0.015000000000000001,0.005,0.0054,0.0049,0.0032,0.0008,0.0036000000000000003,0.0018000000000000002,0,ANA
0.0173,0.0317,0.046400000000000004,0.0205,0.0143,0.0051,0.0077,0.0056,0.0057,0.0001,0.0049,0.0047,0,ANA
0.006900000000000001,0.014700000000000001,0.0188,0.010100000000000001,0.0071,0.0041,0.006,0.0046,0.0049,0.0001,0.0058000000000000005,0.005,0,ANA
0.0234,0.0303,0.0322,0.0183,0.015700000000000002,0.0098,0.0119,0.010100000000000001,0.0115,0.004200000000000001,0.0099,0.0088,0,ANA
0.0126,0.021500000000000002,0.027700000000000002,0.014400000000000001,0.0131,0.0099,0.013000000000000001,0.0105,0.012100000000000001,0.0181,0.012,0.0094,0,ANA
0.027,0.0324,0.0356,0.0178,0.015300000000000001,0.012100000000000001,0.0142,0.0117,0.0129,0.0173,0.0112,0.010400000000000001,0,ANA
0.0201,0.028200000000000003,0.0341,0.017,0.0137,0.0076,0.0083,0.007,0.0071,0.0022,0.0077,0.0073,0,ANA
0.028,0.0714,0.08020000000000001,0.0517,0.0461,0.0359,0.0341,0.0526,0.030500000000000003,0.022600000000000002,0.0412,0.0302,0,ANA
0.012100000000000001,0.0207,0.0263,0.0119,0.0082,0.0053,0.005200000000000001,0.0054,0.0046,0.0028,0.0036000000000000003,0.0038,0,ANA
0.0536,0.061500000000000006,0.0857,0.0884,0.0819,0.040600000000000004,0.0432,0.0347,0.0346,0.11380000000000001,0.0264,0.025400000000000002,1,ANA
0.2515,0.20800000000000002,0.2272,0.22190000000000001,0.2679,0.24910000000000002,0.24530000000000002,0.19970000000000002,0.233,1.2962,0.19140000000000001,0.16840000000000002,0,ANA
