Value;BAND_1;BAND_2;BAND_3;BAND_4;BAND_5;BAND_6;BAND_7;BAND_8;BAND_8A;BAND_9;BAND_11;BAND_12;QA60;NUVEM_SOMBRA;DIFERENCA_DIAS;Parameter;Dominio;Classe
0.0006;115;177;168;86;74;32;52;32;26;17;40;36;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0025;468;385;354;278;299;300;327;279;302;551;253;177;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0063;524;598;670;501;597;561;583;811;586;1638;529;345;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.010876;611;667;649;589;610;664;694;680;648;462;557;451;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0163;468;385;354;278;299;300;327;279;302;551;253;177;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0173;291;304;400;286;346;306;354;341;349;810;357;190;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.02;82;70;88;83;67;24;25;38;30;34;93;80;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0206;115;177;168;86;74;32;52;32;26;17;40;36;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0251;468;385;354;278;299;300;327;279;302;551;253;177;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0263;115;177;168;86;74;32;52;32;26;17;40;36;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0322;1480;1993;2222;2107;2501;2753;2733;2856;2699;4664;2696;1940;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.04;271;292;443;296;275;120;124;109;94;81;76;67;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.05;504;1149;799;497;465;419;395;975;387;606;521;382;0;CIRRUS;0;TURBIDEZ;ANA;1
0.0505;234;239;374;230;244;174;224;182;188;399;115;69;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0622;1480;1993;2222;2107;2501;2753;2733;2856;2699;4664;2696;1940;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.0627;1480;1993;2222;2107;2501;2753;2733;2856;2699;4664;2696;1940;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.07;271;292;443;296;275;120;124;109;94;81;76;67;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.07;137;197;246;4;1;1;1;1;1;86;52;64;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.071047;392;509;513;470;511;589;657;530;649;480;472;438;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0715;179;211;217;123;127;120;137;126;144;149;80;57;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.075844;392;509;513;470;511;589;657;530;649;480;472;438;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.0804;115;177;168;86;74;32;52;32;26;17;40;36;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.09;339;323;218;147;140;133;130;110;121;130;87;77;0;SHADOW;0;TURBIDEZ;Canada;1
0.1;234;248;223;177;167;151;155;159;134;130;140;128;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;1;61;60;34;30;12;26;33;19;2;61;55;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;1;66;83;49;27;26;53;58;37;56;87;81;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;6;20;67;8;12;8;11;7;5;1;1;1;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;6;20;67;8;12;8;11;7;5;1;1;1;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;14;9;46;15;1;1;1;1;1;1;9;5;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;1;6;45;6;1;1;1;1;1;1;17;19;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;14;9;46;15;1;1;1;1;1;1;9;5;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;329;249;226;155;141;82;97;72;69;97;96;105;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;43;70;42;57;37;25;48;40;30;6;56;53;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;25;56;24;28;19;9;23;21;21;29;47;37;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;262;220;268;159;165;112;121;96;100;49;43;31;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;97;151;172;97;98;89;88;83;78;101;76;46;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;601;443;505;433;479;514;548;451;557;757;514;470;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;469;390;441;263;242;198;206;188;176;297;150;138;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;469;390;441;263;242;198;206;188;176;297;150;138;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;63;142;168;116;115;42;46;32;20;3;35;42;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;63;142;168;116;115;42;46;32;20;3;35;42;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;63;142;168;116;115;42;46;32;20;3;35;42;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1;405;368;269;214;208;203;208;179;191;233;170;158;0;SHADOW;0;TURBIDEZ;Canada;1
0.1;443;445;359;307;310;302;308;281;308;283;266;252;0;SHADOW;0;TURBIDEZ;Canada;1
0.102545;89;53;63;40;39;9;21;16;24;8;85;67;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.105727;91;56;57;34;34;22;26;22;34;29;102;76;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.107;1480;1993;2222;2107;2501;2753;2733;2856;2699;4664;2696;1940;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.12;1993;1985;1854;1787;1840;1757;1773;1763;1735;1523;1707;1545;0;CIRRUS;0;TURBIDEZ;Canada;1
0.1267;115;177;168;86;74;32;52;32;26;17;40;36;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.14;514;502;421;379;384;371;369;326;352;351;328;304;0;SHADOW;0;TURBIDEZ;Canada;1
0.1482;115;177;168;86;74;32;52;32;26;17;40;36;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.15;226;88;140;70;136;74;94;87;66;312;106;77;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.1509;115;177;168;86;74;32;52;32;26;17;40;36;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.157833;392;509;513;470;511;589;657;530;649;480;472;438;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.16;103;80;117;83;94;86;95;76;65;49;17;12;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.18;224;230;163;97;88;76;77;70;66;61;19;19;0;SHADOW;0;TURBIDEZ;Canada;1
0.1884;179;211;217;123;127;120;137;126;144;149;80;57;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;6609;6034;5815;5888;5930;6318;6112;6492;5974;6068;1014;943;0;NADA;0;TURBIDEZ;Europa;1
0.2;354;418;427;241;228;190;196;175;163;164;115;87;0;SHADOW;0;TURBIDEZ;Campo_Geo;1
0.2;362;420;434;240;225;194;194;179;178;168;116;94;0;SHADOW;0;TURBIDEZ;Campo_Limnologia;1
0.2;150;160;189;210;369;529;627;704;789;957;807;483;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;99;81;38;17;49;39;114;92;114;259;112;86;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;6;20;67;8;12;8;11;7;5;1;1;1;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;114;51;42;26;24;10;18;18;11;11;17;12;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;342;272;262;152;137;82;85;81;66;102;72;58;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;114;51;42;26;24;10;18;18;11;11;17;12;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;399;491;572;397;407;391;381;405;370;433;312;263;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;221;248;342;179;163;114;115;103;95;78;41;39;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;262;220;268;159;165;112;121;96;100;49;43;31;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;469;390;441;263;242;198;206;188;176;297;150;138;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;469;390;441;263;242;198;206;188;176;297;150;138;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;63;142;168;116;115;42;46;32;20;3;35;42;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.2;84;86;80;87;99;88;114;106;100;335;142;112;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.21;648;892;1193;1325;1417;1357;1403;1402;1401;1427;1338;1273;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.22;1842;2377;2772;3031;3078;3320;3339;3471;3361;2670;3211;2175;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.22;1842;2377;2772;3031;3078;3320;3339;3471;3361;2670;3211;2175;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.224132;611;667;649;589;610;664;694;680;648;462;557;451;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.24;313;367;375;193;177;145;153;133;134;145;84;69;0;SHADOW;0;TURBIDEZ;Campo_Geo;1
0.24;311;366;381;201;180;146;156;140;134;139;84;78;0;SHADOW;0;TURBIDEZ;Campo_Limnologia;1
0.243711;193;146;134;108;121;148;163;145;143;144;107;75;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.261318;193;146;134;108;121;148;163;145;143;144;107;75;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.27634;1;4;13;8;3;15;31;29;24;2;33;33;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.28;399;491;572;397;407;391;381;405;370;433;312;263;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.296;234;239;374;230;244;174;224;182;188;399;115;69;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.3;385;407;475;200;169;140;146;130;139;99;135;123;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.3;363;351;407;178;143;99;111;99;92;104;101;95;0;CIRRUS;0;TURBIDEZ;Estados_Unidos;1
0.3;182;292;513;206;128;64;63;61;48;22;24;24;0;CIRRUS;0;TURBIDEZ;PMQs;1
0.3;182;292;513;206;128;64;63;61;48;22;24;24;0;CIRRUS;0;TURBIDEZ;PMQs;1
0.3;234;142;160;173;197;208;237;231;239;678;244;203;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.3;372;244;217;196;216;223;216;211;198;1104;273;222;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.3;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.3;6;20;67;8;12;8;11;7;5;1;1;1;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.3;7;21;73;18;10;3;1;12;1;1;4;10;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
0.3;14;9;46;15;1;1;1;1;1;1;9;5;0;SHADOW;0;TURBIDEZ;Estados_Unidos;1
