Unnamed: 0;Unnamed: 0.1;Value;BAND_1;BAND_2;BAND_3;BAND_4;BAND_5;BAND_6;BAND_7;BAND_8;BAND_8A;BAND_9;BAND_11;BAND_12;QA60;NUVEM_SOMBRA;DIFERENCA_DIAS;Parameter;Dominio;Classe
809;809;4.8;305;432;550;270;219;103;121;101;96;11;67;63;0;CIRRUS;0;TURBIDEZ;ANA;1
810;810;9.2;318;402;588;215;150;50;54;49;32;8;36;18;0;CIRRUS;0;TURBIDEZ;ANA;1
811;811;3.98;173;317;464;205;143;51;77;56;57;1;49;47;0;CIRRUS;0;TURBIDEZ;ANA;1
820;820;1.5;280;714;802;517;461;359;341;526;305;226;412;302;0;CIRRUS;0;TURBIDEZ;ANA;1
823;823;210;474;630;898;693;601;263;275;291;183;712;193;163;0;CIRRUS;0;TURBIDEZ;ANA;4
830;830;1.95;2515;2080;2272;2219;2679;2491;2453;1997;2330;12962;1914;1684;0;CIRRUS;0;TURBIDEZ;ANA;1
847;847;8.12;558;679;830;764;721;507;539;498;487;667;435;382;0;CIRRUS;0;TURBIDEZ;ANA;1
855;855;24.6;2199;2237;2657;2466;2876;2404;2427;2237;2344;2416;2221;1993;0;CIRRUS;0;TURBIDEZ;ANA;1
860;860;18;855;1615;2041;2403;2650;2535;2603;2585;2577;1739;3258;3034;0;CIRRUS;0;TURBIDEZ;ANA;1
862;862;6.36;257;296;475;306;338;190;196;189;175;105;182;155;0;CIRRUS;0;TURBIDEZ;ANA;1
868;868;13.6;1164;1488;1644;1411;1571;1291;1339;1222;1243;1086;1252;1112;0;CIRRUS;0;TURBIDEZ;ANA;1
871;871;2.93;1691;1974;1986;1968;2250;2344;2411;2212;2443;3691;2492;2222;0;CIRRUS;0;TURBIDEZ;ANA;1
884;884;7.54;1169;1076;1421;1105;1323;1793;1876;1890;1702;3754;1516;994;0;CIRRUS;0;TURBIDEZ;ANA;1
905;905;4.45;2678;3560;3104;2772;2961;2994;3117;3710;3346;4053;3558;3123;0;CIRRUS;0;TURBIDEZ;ANA;1
921;921;8.91;561;982;965;661;712;506;450;736;378;703;431;312;0;CIRRUS;0;TURBIDEZ;ANA;1
937;937;4.83;366;357;405;264;240;116;119;106;103;156;92;73;0;CIRRUS;0;TURBIDEZ;ANA;1
938;938;9.57;946;1169;1230;914;831;562;556;626;471;537;485;391;0;CIRRUS;0;TURBIDEZ;ANA;1
940;940;9.56;271;353;649;362;352;159;153;118;132;108;268;280;0;CIRRUS;0;TURBIDEZ;ANA;1
963;963;49.299999;1933;2029;2458;2487;2834;2655;2645;2712;2603;2894;3476;2349;0;CIRRUS;0;TURBIDEZ;ANA;2
972;972;3.31;1641;1622;1772;1593;1904;2314;2472;2068;2555;3405;2210;1677;0;CIRRUS;0;TURBIDEZ;ANA;1
1005;1005;2.38;994;844;1002;1115;1349;1502;1636;1395;1764;3182;1836;1483;0;CIRRUS;0;TURBIDEZ;ANA;1
1034;1034;14.9;489;774;975;1085;1387;1608;1751;1793;1857;1428;2439;2085;0;CIRRUS;0;TURBIDEZ;ANA;1
1043;1043;11.96;423;668;1010;1181;1484;1684;1817;1789;1974;1855;2542;2081;0;CIRRUS;0;TURBIDEZ;ANA;1
1063;1063;13.5;1358;1796;1894;1899;2079;2119;2135;2502;2120;2413;2850;2205;0;CIRRUS;0;TURBIDEZ;ANA;1
1064;1064;48.099998;1656;2469;2458;2368;2706;2886;2965;3326;2949;2317;3107;2616;0;CIRRUS;0;TURBIDEZ;ANA;2
1065;1065;75.300003;2285;2260;2386;2304;2697;2392;2368;2080;2247;2285;2159;1988;0;CIRRUS;0;TURBIDEZ;ANA;3
1069;1069;18.799999;3581;2977;3132;3178;3655;3971;4011;3705;4056;6559;3894;3286;0;CIRRUS;0;TURBIDEZ;ANA;1
1084;1084;15;1804;2056;2019;1936;1980;1778;1786;1803;1734;2325;1864;1506;0;CIRRUS;0;TURBIDEZ;ANA;1
1092;1092;3;332;358;488;323;259;110;129;110;96;165;205;195;0;CIRRUS;0;TURBIDEZ;ANA;1
1095;1095;1.42;324;313;515;216;203;164;182;137;160;240;106;96;0;CIRRUS;0;TURBIDEZ;ANA;1
